Main,,Sukupuolet yhteensä,,,,,,,,,Miehet,,,,,,,,,Naiset,,,,,,,,
Taustamaanosa,Syntyperä,TAUSTAMAA YHTEENSÄ,Suomi,ULKOMAATAUSTAISET YHTEENSÄ,MUUT EU(27)MAAT,MUU EUROOPPA,AFRIKKA,AMERIKKA,AASIA ja OSEANIA,TUNTEMATON,TAUSTAMAA YHTEENSÄ,Suomi,ULKOMAATAUSTAISET YHTEENSÄ,MUUT EU(27)MAAT,MUU EUROOPPA,AFRIKKA,AMERIKKA,AASIA ja OSEANIA,TUNTEMATON,TAUSTAMAA YHTEENSÄ,Suomi,ULKOMAATAUSTAISET YHTEENSÄ,MUUT EU(27)MAAT,MUU EUROOPPA,AFRIKKA,AMERIKKA,AASIA ja OSEANIA,TUNTEMATON
,Syntyperältään ulkomaalainen yhteensä,44,0,44,15,15,0,0,2,12,17,0,17,9,1,0,0,2,5,27,0,27,6,14,0,0,0,7
,Ensimmäisen polven ulkomaalainen,38,0,38,14,15,0,0,2,7,13,0,13,8,1,0,0,2,2,25,0,25,6,14,0,0,0,5
,Toisen polven ulkomaalainen,6,0,6,1,0,0,0,0,5,4,0,4,1,0,0,0,0,3,2,0,2,0,0,0,0,0,2
Espoo - Esbo,Väestö yhteensä,252439,226042,26397,6656,6578,4072,868,7846,377,124542,110574,13968,3692,3064,2374,477,4147,214,127897,115468,12429,2964,3514,1698,391,3699,163
,Syntyperältään suomalainen yhteensä,226042,226042,0,0,0,0,0,0,0,110574,110574,0,0,0,0,0,0,0,115468,115468,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",223032,223032,0,0,0,0,0,0,0,109007,109007,0,0,0,0,0,0,0,114025,114025,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",3010,3010,0,0,0,0,0,0,0,1567,1567,0,0,0,0,0,0,0,1443,1443,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,26397,0,26397,6656,6578,4072,868,7846,377,13968,0,13968,3692,3064,2374,477,4147,214,12429,0,12429,2964,3514,1698,391,3699,163
,Ensimmäisen polven ulkomaalainen,22077,0,22077,5967,5425,2993,811,6610,271,11778,0,11778,3332,2510,1831,453,3486,166,10299,0,10299,2635,2915,1162,358,3124,105
,Toisen polven ulkomaalainen,4320,0,4320,689,1153,1079,57,1236,106,2190,0,2190,360,554,543,24,661,48,2130,0,2130,329,599,536,33,575,58
Eura,Väestö yhteensä,12424,12211,213,104,85,3,3,17,1,6192,6089,103,59,36,2,1,5,0,6232,6122,110,45,49,1,2,12,1
,Syntyperältään suomalainen yhteensä,12211,12211,0,0,0,0,0,0,0,6089,6089,0,0,0,0,0,0,0,6122,6122,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",12172,12172,0,0,0,0,0,0,0,6070,6070,0,0,0,0,0,0,0,6102,6102,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",39,39,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,213,0,213,104,85,3,3,17,1,103,0,103,59,36,2,1,5,0,110,0,110,45,49,1,2,12,1
,Ensimmäisen polven ulkomaalainen,200,0,200,100,77,3,3,17,0,97,0,97,57,32,2,1,5,0,103,0,103,43,45,1,2,12,0
,Toisen polven ulkomaalainen,13,0,13,4,8,0,0,0,1,6,0,6,2,4,0,0,0,0,7,0,7,2,4,0,0,0,1
Eurajoki - Euraåminne,Väestö yhteensä,5844,5754,90,34,38,1,3,12,2,2927,2884,43,19,21,1,1,1,0,2917,2870,47,15,17,0,2,11,2
,Syntyperältään suomalainen yhteensä,5754,5754,0,0,0,0,0,0,0,2884,2884,0,0,0,0,0,0,0,2870,2870,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",5722,5722,0,0,0,0,0,0,0,2872,2872,0,0,0,0,0,0,0,2850,2850,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",32,32,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,90,0,90,34,38,1,3,12,2,43,0,43,19,21,1,1,1,0,47,0,47,15,17,0,2,11,2
,Ensimmäisen polven ulkomaalainen,82,0,82,32,33,1,3,12,1,38,0,38,18,17,1,1,1,0,44,0,44,14,16,0,2,11,1
,Toisen polven ulkomaalainen,8,0,8,2,5,0,0,0,1,5,0,5,1,4,0,0,0,0,3,0,3,1,1,0,0,0,1
Evijärvi,Väestö yhteensä,2747,2694,53,20,18,0,2,9,4,1426,1400,26,10,9,0,2,2,3,1321,1294,27,10,9,0,0,7,1
,Syntyperältään suomalainen yhteensä,2694,2694,0,0,0,0,0,0,0,1400,1400,0,0,0,0,0,0,0,1294,1294,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",2668,2668,0,0,0,0,0,0,0,1383,1383,0,0,0,0,0,0,0,1285,1285,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",26,26,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,53,0,53,20,18,0,2,9,4,26,0,26,10,9,0,2,2,3,27,0,27,10,9,0,0,7,1
,Ensimmäisen polven ulkomaalainen,48,0,48,18,18,0,1,9,2,21,0,21,8,9,0,1,2,1,27,0,27,10,9,0,0,7,1
,Toisen polven ulkomaalainen,5,0,5,2,0,0,1,0,2,5,0,5,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0
Finström,Väestö yhteensä,2527,2302,225,172,11,3,7,28,4,1258,1149,109,90,7,2,1,8,1,1269,1153,116,82,4,1,6,20,3
,Syntyperältään suomalainen yhteensä,2302,2302,0,0,0,0,0,0,0,1149,1149,0,0,0,0,0,0,0,1153,1153,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",2223,2223,0,0,0,0,0,0,0,1121,1121,0,0,0,0,0,0,0,1102,1102,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",79,79,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,51,51,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,225,0,225,172,11,3,7,28,4,109,0,109,90,7,2,1,8,1,116,0,116,82,4,1,6,20,3
,Ensimmäisen polven ulkomaalainen,203,0,203,157,10,2,4,26,4,102,0,102,84,7,2,0,8,1,101,0,101,73,3,0,4,18,3
,Toisen polven ulkomaalainen,22,0,22,15,1,1,3,2,0,7,0,7,6,0,0,1,0,0,15,0,15,9,1,1,2,2,0
Forssa,Väestö yhteensä,17833,17249,584,184,269,28,12,74,17,8619,8328,291,117,112,23,4,32,3,9214,8921,293,67,157,5,8,42,14
,Syntyperältään suomalainen yhteensä,17249,17249,0,0,0,0,0,0,0,8328,8328,0,0,0,0,0,0,0,8921,8921,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",17154,17154,0,0,0,0,0,0,0,8284,8284,0,0,0,0,0,0,0,8870,8870,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",95,95,0,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,51,51,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,584,0,584,184,269,28,12,74,17,291,0,291,117,112,23,4,32,3,293,0,293,67,157,5,8,42,14
,Ensimmäisen polven ulkomaalainen,536,0,536,178,238,27,11,69,13,266,0,266,113,93,23,4,30,3,270,0,270,65,145,4,7,39,10
,Toisen polven ulkomaalainen,48,0,48,6,31,1,1,5,4,25,0,25,4,19,0,0,2,0,23,0,23,2,12,1,1,3,4
Föglö,Väestö yhteensä,577,485,92,84,2,0,1,5,0,298,248,50,46,2,0,1,1,0,279,237,42,38,0,0,0,4,0
