Main,,Sukupuolet yhteensä,,,,,,,,,Miehet,,,,,,,,,Naiset,,,,,,,,
Taustamaanosa,Syntyperä,TAUSTAMAA YHTEENSÄ,Suomi,ULKOMAATAUSTAISET YHTEENSÄ,MUUT EU(27)MAAT,MUU EUROOPPA,AFRIKKA,AMERIKKA,AASIA ja OSEANIA,TUNTEMATON,TAUSTAMAA YHTEENSÄ,Suomi,ULKOMAATAUSTAISET YHTEENSÄ,MUUT EU(27)MAAT,MUU EUROOPPA,AFRIKKA,AMERIKKA,AASIA ja OSEANIA,TUNTEMATON,TAUSTAMAA YHTEENSÄ,Suomi,ULKOMAATAUSTAISET YHTEENSÄ,MUUT EU(27)MAAT,MUU EUROOPPA,AFRIKKA,AMERIKKA,AASIA ja OSEANIA,TUNTEMATON
,Toisen polven ulkomaalainen,6,0,6,4,1,0,0,0,1,2,0,2,1,1,0,0,0,0,4,0,4,3,0,0,0,0,1
Liperi,Väestö yhteensä,12286,12113,173,40,101,1,5,20,6,6208,6144,64,23,33,0,2,6,0,6078,5969,109,17,68,1,3,14,6
,Syntyperältään suomalainen yhteensä,12113,12113,0,0,0,0,0,0,0,6144,6144,0,0,0,0,0,0,0,5969,5969,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",12067,12067,0,0,0,0,0,0,0,6118,6118,0,0,0,0,0,0,0,5949,5949,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",46,46,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,173,0,173,40,101,1,5,20,6,64,0,64,23,33,0,2,6,0,109,0,109,17,68,1,3,14,6
,Ensimmäisen polven ulkomaalainen,159,0,159,35,94,1,4,19,6,60,0,60,21,33,0,1,5,0,99,0,99,14,61,1,3,14,6
,Toisen polven ulkomaalainen,14,0,14,5,7,0,1,1,0,4,0,4,2,0,0,1,1,0,10,0,10,3,7,0,0,0,0
Lohja - Lojo,Väestö yhteensä,39726,38513,1213,523,422,82,26,132,28,19556,18918,638,311,208,53,14,34,18,20170,19595,575,212,214,29,12,98,10
,Syntyperältään suomalainen yhteensä,38513,38513,0,0,0,0,0,0,0,18918,18918,0,0,0,0,0,0,0,19595,19595,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",38239,38239,0,0,0,0,0,0,0,18788,18788,0,0,0,0,0,0,0,19451,19451,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",274,274,0,0,0,0,0,0,0,130,130,0,0,0,0,0,0,0,144,144,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,1213,0,1213,523,422,82,26,132,28,638,0,638,311,208,53,14,34,18,575,0,575,212,214,29,12,98,10
,Ensimmäisen polven ulkomaalainen,1068,0,1068,478,364,61,25,127,13,559,0,559,287,178,40,14,30,10,509,0,509,191,186,21,11,97,3
,Toisen polven ulkomaalainen,145,0,145,45,58,21,1,5,15,79,0,79,24,30,13,0,4,8,66,0,66,21,28,8,1,1,7
Loimaa,Väestö yhteensä,16848,16551,297,95,148,4,5,37,8,8257,8103,154,53,70,4,3,17,7,8591,8448,143,42,78,0,2,20,1
,Syntyperältään suomalainen yhteensä,16551,16551,0,0,0,0,0,0,0,8103,8103,0,0,0,0,0,0,0,8448,8448,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",16487,16487,0,0,0,0,0,0,0,8070,8070,0,0,0,0,0,0,0,8417,8417,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",64,64,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,297,0,297,95,148,4,5,37,8,154,0,154,53,70,4,3,17,7,143,0,143,42,78,0,2,20,1
,Ensimmäisen polven ulkomaalainen,275,0,275,89,140,4,5,32,5,139,0,139,50,64,4,3,14,4,136,0,136,39,76,0,2,18,1
,Toisen polven ulkomaalainen,22,0,22,6,8,0,0,5,3,15,0,15,3,6,0,0,3,3,7,0,7,3,2,0,0,2,0
Loppi,Väestö yhteensä,8377,8254,123,44,33,3,3,36,4,4291,4235,56,22,15,3,1,11,4,4086,4019,67,22,18,0,2,25,0
,Syntyperältään suomalainen yhteensä,8254,8254,0,0,0,0,0,0,0,4235,4235,0,0,0,0,0,0,0,4019,4019,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",8212,8212,0,0,0,0,0,0,0,4217,4217,0,0,0,0,0,0,0,3995,3995,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",42,42,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,123,0,123,44,33,3,3,36,4,56,0,56,22,15,3,1,11,4,67,0,67,22,18,0,2,25,0
,Ensimmäisen polven ulkomaalainen,110,0,110,41,31,3,3,31,1,52,0,52,21,15,3,1,11,1,58,0,58,20,16,0,2,20,0
,Toisen polven ulkomaalainen,13,0,13,3,2,0,0,5,3,4,0,4,1,0,0,0,0,3,9,0,9,2,2,0,0,5,0
Loviisa - Lovisa,Väestö yhteensä,15552,15077,475,146,207,18,12,66,26,7758,7551,207,71,82,12,6,20,16,7794,7526,268,75,125,6,6,46,10
,Syntyperältään suomalainen yhteensä,15077,15077,0,0,0,0,0,0,0,7551,7551,0,0,0,0,0,0,0,7526,7526,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",14930,14930,0,0,0,0,0,0,0,7473,7473,0,0,0,0,0,0,0,7457,7457,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",147,147,0,0,0,0,0,0,0,78,78,0,0,0,0,0,0,0,69,69,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,475,0,475,146,207,18,12,66,26,207,0,207,71,82,12,6,20,16,268,0,268,75,125,6,6,46,10
,Ensimmäisen polven ulkomaalainen,431,0,431,134,192,14,11,61,19,181,0,181,62,74,10,6,18,11,250,0,250,72,118,4,5,43,8
,Toisen polven ulkomaalainen,44,0,44,12,15,4,1,5,7,26,0,26,9,8,2,0,2,5,18,0,18,3,7,2,1,3,2
Luhanka,Väestö yhteensä,802,799,3,1,2,0,0,0,0,418,417,1,1,0,0,0,0,0,384,382,2,0,2,0,0,0,0
,Syntyperältään suomalainen yhteensä,799,799,0,0,0,0,0,0,0,417,417,0,0,0,0,0,0,0,382,382,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",799,799,0,0,0,0,0,0,0,417,417,0,0,0,0,0,0,0,382,382,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,3,0,3,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,2,0,2,0,0,0,0
,Ensimmäisen polven ulkomaalainen,3,0,3,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,2,0,2,0,0,0,0
,Toisen polven ulkomaalainen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lumijoki,Väestö yhteensä,2037,2020,17,7,4,0,3,3,0,1041,1032,9,3,3,0,3,0,0,996,988,8,4,1,0,0,3,0
,Syntyperältään suomalainen yhteensä,2020,2020,0,0,0,0,0,0,0,1032,1032,0,0,0,0,0,0,0,988,988,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",2003,2003,0,0,0,0,0,0,0,1023,1023,0,0,0,0,0,0,0,980,980,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",17,17,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,17,0,17,7,4,0,3,3,0,9,0,9,3,3,0,3,0,0,8,0,8,4,1,0,0,3,0
,Ensimmäisen polven ulkomaalainen,15,0,15,5,4,0,3,3,0,8,0,8,2,3,0,3,0,0,7,0,7,3,1,0,0,3,0
,Toisen polven ulkomaalainen,2,0,2,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Lumparland,Väestö yhteensä,399,365,34,26,3,0,1,0,4,204,189,15,13,1,0,0,0,1,195,176,19,13,2,0,1,0,3
,Syntyperältään suomalainen yhteensä,365,365,0,0,0,0,0,0,0,189,189,0,0,0,0,0,0,0,176,176,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",355,355,0,0,0,0,0,0,0,182,182,0,0,0,0,0,0,0,173,173,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",10,10,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,34,0,34,26,3,0,1,0,4,15,0,15,13,1,0,0,0,1,19,0,19,13,2,0,1,0,3
,Ensimmäisen polven ulkomaalainen,33,0,33,26,3,0,1,0,3,14,0,14,13,1,0,0,0,0,19,0,19,13,2,0,1,0,3
,Toisen polven ulkomaalainen,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Luoto - Larsmo,Väestö yhteensä,4921,4815,106,49,21,0,8,25,3,2523,2471,52,30,7,0,3,11,1,2398,2344,54,19,14,0,5,14,2
,Syntyperältään suomalainen yhteensä,4815,4815,0,0,0,0,0,0,0,2471,2471,0,0,0,0,0,0,0,2344,2344,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",4696,4696,0,0,0,0,0,0,0,2410,2410,0,0,0,0,0,0,0,2286,2286,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",119,119,0,0,0,0,0,0,0,61,61,0,0,0,0,0,0,0,58,58,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,106,0,106,49,21,0,8,25,3,52,0,52,30,7,0,3,11,1,54,0,54,19,14,0,5,14,2
,Ensimmäisen polven ulkomaalainen,96,0,96,46,15,0,8,24,3,48,0,48,28,5,0,3,11,1,48,0,48,18,10,0,5,13,2
,Toisen polven ulkomaalainen,10,0,10,3,6,0,0,1,0,4,0,4,2,2,0,0,0,0,6,0,6,1,4,0,0,1,0
Luumäki,Väestö yhteensä,5119,4990,129,17,94,6,4,5,3,2571,2517,54,10,34,3,3,4,0,2548,2473,75,7,60,3,1,1,3
,Syntyperältään suomalainen yhteensä,4990,4990,0,0,0,0,0,0,0,2517,2517,0,0,0,0,0,0,0,2473,2473,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",4967,4967,0,0,0,0,0,0,0,2504,2504,0,0,0,0,0,0,0,2463,2463,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",23,23,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,129,0,129,17,94,6,4,5,3,54,0,54,10,34,3,3,4,0,75,0,75,7,60,3,1,1,3
,Ensimmäisen polven ulkomaalainen,123,0,123,15,91,6,4,5,2,53,0,53,10,33,3,3,4,0,70,0,70,5,58,3,1,1,2
,Toisen polven ulkomaalainen,6,0,6,2,3,0,0,0,1,1,0,1,0,1,0,0,0,0,5,0,5,2,2,0,0,0,1
Luvia,Väestö yhteensä,3353,3296,57,30,16,1,3,3,4,1715,1685,30,22,6,1,1,0,0,1638,1611,27,8,10,0,2,3,4
,Syntyperältään suomalainen yhteensä,3296,3296,0,0,0,0,0,0,0,1685,1685,0,0,0,0,0,0,0,1611,1611,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",3273,3273,0,0,0,0,0,0,0,1674,1674,0,0,0,0,0,0,0,1599,1599,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",23,23,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,57,0,57,30,16,1,3,3,4,30,0,30,22,6,1,1,0,0,27,0,27,8,10,0,2,3,4
,Ensimmäisen polven ulkomaalainen,47,0,47,23,15,1,3,3,2,26,0,26,19,5,1,1,0,0,21,0,21,4,10,0,2,3,2
,Toisen polven ulkomaalainen,10,0,10,7,1,0,0,0,2,4,0,4,3,1,0,0,0,0,6,0,6,4,0,0,0,0,2
Maalahti - Malax,Väestö yhteensä,5614,5364,250,60,111,4,6,63,6,2843,2719,124,35,51,3,3,30,2,2771,2645,126,25,60,1,3,33,4
,Syntyperältään suomalainen yhteensä,5364,5364,0,0,0,0,0,0,0,2719,2719,0,0,0,0,0,0,0,2645,2645,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",5245,5245,0,0,0,0,0,0,0,2660,2660,0,0,0,0,0,0,0,2585,2585,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",119,119,0,0,0,0,0,0,0,59,59,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,250,0,250,60,111,4,6,63,6,124,0,124,35,51,3,3,30,2,126,0,126,25,60,1,3,33,4
,Ensimmäisen polven ulkomaalainen,219,0,219,50,97,4,6,57,5,112,0,112,31,46,3,3,27,2,107,0,107,19,51,1,3,30,3
,Toisen polven ulkomaalainen,31,0,31,10,14,0,0,6,1,12,0,12,4,5,0,0,3,0,19,0,19,6,9,0,0,3,1
Maaninka,Väestö yhteensä,3841,3799,42,5,25,0,0,9,3,1962,1949,13,2,7,0,0,1,3,1879,1850,29,3,18,0,0,8,0
,Syntyperältään suomalainen yhteensä,3799,3799,0,0,0,0,0,0,0,1949,1949,0,0,0,0,0,0,0,1850,1850,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",3794,3794,0,0,0,0,0,0,0,1947,1947,0,0,0,0,0,0,0,1847,1847,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",5,5,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,42,0,42,5,25,0,0,9,3,13,0,13,2,7,0,0,1,3,29,0,29,3,18,0,0,8,0
,Ensimmäisen polven ulkomaalainen,35,0,35,5,21,0,0,9,0,9,0,9,2,6,0,0,1,0,26,0,26,3,15,0,0,8,0
,Toisen polven ulkomaalainen,7,0,7,0,4,0,0,0,3,4,0,4,0,1,0,0,0,3,3,0,3,0,3,0,0,0,0
Maarianhamina - Mariehamn,Väestö yhteensä,11262,9623,1639,1064,182,45,36,259,53,5384,4543,841,571,89,23,17,125,16,5878,5080,798,493,93,22,19,134,37
,Syntyperältään suomalainen yhteensä,9623,9623,0,0,0,0,0,0,0,4543,4543,0,0,0,0,0,0,0,5080,5080,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",9174,9174,0,0,0,0,0,0,0,4315,4315,0,0,0,0,0,0,0,4859,4859,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",449,449,0,0,0,0,0,0,0,228,228,0,0,0,0,0,0,0,221,221,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,1639,0,1639,1064,182,45,36,259,53,841,0,841,571,89,23,17,125,16,798,0,798,493,93,22,19,134,37
,Ensimmäisen polven ulkomaalainen,1484,0,1484,983,157,40,33,236,35,757,0,757,525,75,22,15,109,11,727,0,727,458,82,18,18,127,24
,Toisen polven ulkomaalainen,155,0,155,81,25,5,3,23,18,84,0,84,46,14,1,2,16,5,71,0,71,35,11,4,1,7,13
Marttila,Väestö yhteensä,1998,1975,23,8,4,1,0,9,1,1028,1017,11,6,2,0,0,2,1,970,958,12,2,2,1,0,7,0
,Syntyperältään suomalainen yhteensä,1975,1975,0,0,0,0,0,0,0,1017,1017,0,0,0,0,0,0,0,958,958,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",1969,1969,0,0,0,0,0,0,0,1011,1011,0,0,0,0,0,0,0,958,958,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",6,6,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,23,0,23,8,4,1,0,9,1,11,0,11,6,2,0,0,2,1,12,0,12,2,2,1,0,7,0
,Ensimmäisen polven ulkomaalainen,22,0,22,8,3,1,0,9,1,10,0,10,6,1,0,0,2,1,12,0,12,2,2,1,0,7,0
,Toisen polven ulkomaalainen,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Masku,Väestö yhteensä,9585,9477,108,50,27,4,5,19,3,4811,4756,55,31,10,2,3,8,1,4774,4721,53,19,17,2,2,11,2
,Syntyperältään suomalainen yhteensä,9477,9477,0,0,0,0,0,0,0,4756,4756,0,0,0,0,0,0,0,4721,4721,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",9413,9413,0,0,0,0,0,0,0,4727,4727,0,0,0,0,0,0,0,4686,4686,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",64,64,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,108,0,108,50,27,4,5,19,3,55,0,55,31,10,2,3,8,1,53,0,53,19,17,2,2,11,2
,Ensimmäisen polven ulkomaalainen,93,0,93,44,22,3,5,18,1,50,0,50,29,10,1,3,7,0,43,0,43,15,12,2,2,11,1
,Toisen polven ulkomaalainen,15,0,15,6,5,1,0,1,2,5,0,5,2,0,1,0,1,1,10,0,10,4,5,0,0,0,1
Merijärvi,Väestö yhteensä,1199,1187,12,6,2,1,1,0,2,642,634,8,4,1,1,0,0,2,557,553,4,2,1,0,1,0,0
,Syntyperältään suomalainen yhteensä,1187,1187,0,0,0,0,0,0,0,634,634,0,0,0,0,0,0,0,553,553,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",1177,1177,0,0,0,0,0,0,0,629,629,0,0,0,0,0,0,0,548,548,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",10,10,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,12,0,12,6,2,1,1,0,2,8,0,8,4,1,1,0,0,2,4,0,4,2,1,0,1,0,0
,Ensimmäisen polven ulkomaalainen,11,0,11,5,2,1,1,0,2,8,0,8,4,1,1,0,0,2,3,0,3,1,1,0,1,0,0
,Toisen polven ulkomaalainen,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Merikarvia - Sastmola,Väestö yhteensä,3304,3276,28,13,11,0,2,2,0,1656,1642,14,8,5,0,1,0,0,1648,1634,14,5,6,0,1,2,0
,Syntyperältään suomalainen yhteensä,3276,3276,0,0,0,0,0,0,0,1642,1642,0,0,0,0,0,0,0,1634,1634,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",3260,3260,0,0,0,0,0,0,0,1634,1634,0,0,0,0,0,0,0,1626,1626,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",16,16,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,28,0,28,13,11,0,2,2,0,14,0,14,8,5,0,1,0,0,14,0,14,5,6,0,1,2,0
,Ensimmäisen polven ulkomaalainen,27,0,27,13,10,0,2,2,0,13,0,13,8,4,0,1,0,0,14,0,14,5,6,0,1,2,0
,Toisen polven ulkomaalainen,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Miehikkälä,Väestö yhteensä,2169,2090,79,14,62,0,0,2,1,1121,1083,38,11,26,0,0,0,1,1048,1007,41,3,36,0,0,2,0
,Syntyperältään suomalainen yhteensä,2090,2090,0,0,0,0,0,0,0,1083,1083,0,0,0,0,0,0,0,1007,1007,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",2084,2084,0,0,0,0,0,0,0,1080,1080,0,0,0,0,0,0,0,1004,1004,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",6,6,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,79,0,79,14,62,0,0,2,1,38,0,38,11,26,0,0,0,1,41,0,41,3,36,0,0,2,0
,Ensimmäisen polven ulkomaalainen,72,0,72,14,55,0,0,2,1,36,0,36,11,24,0,0,0,1,36,0,36,3,31,0,0,2,0
,Toisen polven ulkomaalainen,7,0,7,0,7,0,0,0,0,2,0,2,0,2,0,0,0,0,5,0,5,0,5,0,0,0,0
Mikkeli - S:t Michel,Väestö yhteensä,48907,47634,1273,179,639,116,36,291,12,23746,23168,578,99,264,64,22,128,1,25161,24466,695,80,375,52,14,163,11
,Syntyperältään suomalainen yhteensä,47634,47634,0,0,0,0,0,0,0,23168,23168,0,0,0,0,0,0,0,24466,24466,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",47425,47425,0,0,0,0,0,0,0,23050,23050,0,0,0,0,0,0,0,24375,24375,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",209,209,0,0,0,0,0,0,0,118,118,0,0,0,0,0,0,0,91,91,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,1273,0,1273,179,639,116,36,291,12,578,0,578,99,264,64,22,128,1,695,0,695,80,375,52,14,163,11
,Ensimmäisen polven ulkomaalainen,1122,0,1122,171,550,93,35,266,7,502,0,502,94,217,51,21,119,0,620,0,620,77,333,42,14,147,7
,Toisen polven ulkomaalainen,151,0,151,8,89,23,1,25,5,76,0,76,5,47,13,1,9,1,75,0,75,3,42,10,0,16,4
Muhos,Väestö yhteensä,8909,8832,77,13,30,2,1,27,4,4524,4488,36,8,12,1,0,13,2,4385,4344,41,5,18,1,1,14,2
,Syntyperältään suomalainen yhteensä,8832,8832,0,0,0,0,0,0,0,4488,4488,0,0,0,0,0,0,0,4344,4344,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",8770,8770,0,0,0,0,0,0,0,4455,4455,0,0,0,0,0,0,0,4315,4315,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",62,62,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,77,0,77,13,30,2,1,27,4,36,0,36,8,12,1,0,13,2,41,0,41,5,18,1,1,14,2
,Ensimmäisen polven ulkomaalainen,64,0,64,10,29,2,1,22,0,29,0,29,7,12,1,0,9,0,35,0,35,3,17,1,1,13,0
,Toisen polven ulkomaalainen,13,0,13,3,1,0,0,5,4,7,0,7,1,0,0,0,4,2,6,0,6,2,1,0,0,1,2
Multia,Väestö yhteensä,1847,1828,19,7,9,0,1,2,0,949,940,9,4,3,0,0,2,0,898,888,10,3,6,0,1,0,0
,Syntyperältään suomalainen yhteensä,1828,1828,0,0,0,0,0,0,0,940,940,0,0,0,0,0,0,0,888,888,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",1822,1822,0,0,0,0,0,0,0,936,936,0,0,0,0,0,0,0,886,886,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",6,6,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,19,0,19,7,9,0,1,2,0,9,0,9,4,3,0,0,2,0,10,0,10,3,6,0,1,0,0
,Ensimmäisen polven ulkomaalainen,17,0,17,6,9,0,0,2,0,8,0,8,3,3,0,0,2,0,9,0,9,3,6,0,0,0,0
,Toisen polven ulkomaalainen,2,0,2,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Muonio,Väestö yhteensä,2369,2283,86,53,15,0,1,12,5,1190,1154,36,27,6,0,0,2,1,1179,1129,50,26,9,0,1,10,4
,Syntyperältään suomalainen yhteensä,2283,2283,0,0,0,0,0,0,0,1154,1154,0,0,0,0,0,0,0,1129,1129,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",2232,2232,0,0,0,0,0,0,0,1129,1129,0,0,0,0,0,0,0,1103,1103,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",51,51,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,86,0,86,53,15,0,1,12,5,36,0,36,27,6,0,0,2,1,50,0,50,26,9,0,1,10,4
,Ensimmäisen polven ulkomaalainen,73,0,73,46,15,0,1,9,2,31,0,31,24,6,0,0,1,0,42,0,42,22,9,0,1,8,2
,Toisen polven ulkomaalainen,13,0,13,7,0,0,0,3,3,5,0,5,3,0,0,0,1,1,8,0,8,4,0,0,0,2,2
Mustasaari - Korsholm,Väestö yhteensä,18868,18506,362,137,78,23,46,67,11,9531,9364,167,76,37,14,17,18,5,9337,9142,195,61,41,9,29,49,6
,Syntyperältään suomalainen yhteensä,18506,18506,0,0,0,0,0,0,0,9364,9364,0,0,0,0,0,0,0,9142,9142,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",18129,18129,0,0,0,0,0,0,0,9169,9169,0,0,0,0,0,0,0,8960,8960,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",377,377,0,0,0,0,0,0,0,195,195,0,0,0,0,0,0,0,182,182,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,362,0,362,137,78,23,46,67,11,167,0,167,76,37,14,17,18,5,195,0,195,61,41,9,29,49,6
,Ensimmäisen polven ulkomaalainen,314,0,314,115,68,18,43,63,7,139,0,139,63,30,12,15,16,3,175,0,175,52,38,6,28,47,4
,Toisen polven ulkomaalainen,48,0,48,22,10,5,3,4,4,28,0,28,13,7,2,2,2,2,20,0,20,9,3,3,1,2,2
Muurame,Väestö yhteensä,9438,9323,115,27,72,2,1,10,3,4750,4699,51,19,29,1,0,1,1,4688,4624,64,8,43,1,1,9,2
,Syntyperältään suomalainen yhteensä,9323,9323,0,0,0,0,0,0,0,4699,4699,0,0,0,0,0,0,0,4624,4624,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",9224,9224,0,0,0,0,0,0,0,4649,4649,0,0,0,0,0,0,0,4575,4575,0,0,0,0,0,0,0
,"Suomalainen, syntynyt ulkomailla",99,99,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,49,49,0,0,0,0,0,0,0
,Syntyperältään ulkomaalainen yhteensä,115,0,115,27,72,2,1,10,3,51,0,51,19,29,1,0,1,1,64,0,64,8,43,1,1,9,2
,Ensimmäisen polven ulkomaalainen,101,0,101,21,65,2,1,10,2,46,0,46,17,26,1,0,1,1,55,0,55,4,39,1,1,9,1
,Toisen polven ulkomaalainen,14,0,14,6,7,0,0,0,1,5,0,5,2,3,0,0,0,0,9,0,9,4,4,0,0,0,1
Mynämäki,Väestö yhteensä,8044,7941,103,34,47,3,2,17,0,4029,3980,49,17,23,2,1,6,0,4015,3961,54,17,24,1,1,11,0
,Syntyperältään suomalainen yhteensä,7941,7941,0,0,0,0,0,0,0,3980,3980,0,0,0,0,0,0,0,3961,3961,0,0,0,0,0,0,0
,"Suomalainen, syntynyt Suomessa",7904,7904,0,0,0,0,0,0,0,3957,3957,0,0,0,0,0,0,0,3947,3947,0,0,0,0,0,0,0
